"filename", "language", "JavaScript React", "JavaScript", "JSON", "XML", "CSS", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"/Users/davidverduzco/Desktop/homeinsurance/src/questions/SquareFootage.jsx", "JavaScript React", 96, 0, 0, 0, 0, 0, 0, 0, 0, 30, 126
"/Users/davidverduzco/Desktop/homeinsurance/src/questions/ThankYou.jsx", "JavaScript React", 80, 0, 0, 0, 0, 0, 0, 0, 2, 28, 110
"/Users/davidverduzco/Desktop/homeinsurance/src/questions/TypeOfHome.jsx", "JavaScript React", 62, 0, 0, 0, 0, 0, 0, 0, 0, 30, 92
"/Users/davidverduzco/Desktop/homeinsurance/src/questions/YearBuilt.jsx", "JavaScript React", 105, 0, 0, 0, 0, 0, 0, 0, 3, 50, 158
"/Users/davidverduzco/Desktop/homeinsurance/src/styles/LandingPage.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"/Users/davidverduzco/Desktop/homeinsurance/src/styles/font.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 0, 0, 10, 46
"/Users/davidverduzco/Desktop/homeinsurance/src/styles/forms.css", "CSS", 0, 0, 0, 0, 97, 0, 0, 0, 0, 26, 123
"/Users/davidverduzco/Desktop/homeinsurance/src/utils/postDataToJangle.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 8, 28, 128
"/Users/davidverduzco/Desktop/homeinsurance/src/utils/readFireBase.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 1, 18, 75
"/Users/davidverduzco/Desktop/homeinsurance/src/utils/updateFirebase.js", "JavaScript", 0, 235, 0, 0, 0, 0, 0, 0, 0, 79, 314
"/Users/davidverduzco/Desktop/homeinsurance/src/utils/userInfo.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 27
"/Users/davidverduzco/Desktop/homeinsurance/tailwind.config.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 9, 48
"Total", "-", 1870, 720, 35322, 1, 164, 10, 39, 22, 30, 1048, 39226
